地域,ちいき,地域情報,地域社会,地域密着,地域住民,地域別
探る,さぐる,性を探る,原因を探る,道を探る,秘密を探る,方法を探る
精密,せいみつ,精密検査,精密機械,精密機器,精密加工,精密部品
県庁,けんちょう,県庁所在地,県庁前,県の県庁,県庁内,県庁職員
苦痛,くつう,的苦痛,苦痛を感じる,苦痛を受ける,苦痛を味わう,苦痛以外
樹木,じゅもく,樹木医,樹木希林,保存樹木,大きな樹木,本の樹木
乱れ,みだれ,一糸乱れ,守備の乱れ,食生活の乱れ,バランスの乱れ,ダイヤ乱れ
起源,きげん,起源とする,起源説,起源とされる,生命の起源,種の起源
視力,しりょく,視力回復,視力検査,視力低下,動体視力,視力障害
降りる,おりる,降りるとき,降りる時,階段を降りる,降り口,駅で降りる
損傷,そんしょう,損傷を受ける,板損傷,脳損傷,損傷が激しい,神経損傷
収支,しゅうし,収支報告,経常収支,収支予算,資金収支,収支決算
地裁,ちさい,東京地裁,地裁判決,京都地裁,名古屋地裁,神戸地裁
推理,すいり,推理小説,推理作家,推理文庫,本格推理,日本推理
遺体,いたい,遺体発見,遺体で発見,遺体を発見,遺体で見つかる,男性の遺体
担任,たんにん,担任の先生,担任制,学級担任,担任教師,クラス担任
存じ,ぞんじ,幸いに存じ,光栄に存じ,存じ候,至極に存じ,有り難く存じ
骨折,こっせつ,複雑骨折,骨骨折,足を骨折,足を骨折する,骨折をする
改装,かいそう,改装工事,改装中,全面改装,改装済み,民家を改装
全域,ぜんいき,県全域,エリア全域,市内全域,市全域,県内全域
通訳,つうやく,手話通訳,同時通訳,通訳をする,通訳案内,通訳ガイド
批評,ひひょう,批評家,映画批評,地区批評,批評的,批評をする
預け,あずけ,預け金,自動預け,預け先,預けっぱなし,預け荷物
欲望,よくぼう,自分の欲望,欲望を満たす,人間の欲望,欲望のまま,愛と欲望
遺伝,いでん,遺伝的,遺伝学,遺伝性,遺伝情報,遺伝資源
難易,なんい,難易度,問題の難易,入試難易,試験の難易,最高難易
野党,やとう,野党側,野党時代,野党議員,最大野党,野党党首
密度,みつど,人口密度,骨密度,密度が高い,磁束密度,密度が低い
便秘,べんぴ,便秘薬,便秘解消,体温計便秘,身長便秘,便秘気味
警官,けいかん,警官隊,婦人警官,警官たち,私服警官,年間に警官
補修,ほしゅう,補修工事,補修用,補修部品,ヒビ補修,補修費
沿岸,えんがん,沿岸部,沿岸域,日本海沿岸,地中海沿岸,太平洋沿岸
純正,じゅんせい,純正品,純正部品,純正ナビ,純正律,純正オプション
寸前,すんぜん,破産寸前,寸前の状態,死ぬ寸前,寸前のところ,パンク寸前
部署,ぶしょ,担当部署,関係部署,他の部署,同じ部署,部署名
著名,ちょめい,多くの著名,各界の著名,各界著名,出身の著名,著名作家
洗面,せんめん,洗面所,洗面台,洗面器,洗面室,独立洗面
売れ筋,うれすじ,売れ筋ランキング,売れ筋商品,売れ筋タイトル,売れ筋ビジネス,売れ筋英字
負傷,ふしょう,負傷兵,負傷退場,足を負傷,戦で負傷,上の負傷
異議,いぎ,異議申,異議申し立て,異議を唱える,異議申立,異議を申し立てる
皇室,こうしつ,日本の皇室,皇室関係,皇室会議,皇室外交,皇室の伝統
座る,すわる,座る場所,座るとき,座る席,座るところ,座る時
退院,たいいん,退院後,退院時,無事退院,早く退院,退院祝い
兄貴,あにき,兄貴分,兄貴達,兄貴たち,兄貴的,兄貴さん
警報,けいほう,警報器,火災警報,警報機,警報発令,警報装置
臓器,ぞうき,臓器移植,臓器提供,臓器不全,臓器売買,人工臓器
並木,なみき,桜並木,松並木,並木通り,ケヤキ並木,イチョウ並木
領収,りょうしゅう,領収書,領収証書,領収済,領収印,金額を領収
宅地,たくち,宅地建物,宅地造成,宅地開発,宅地の造成,宅地内
忠実,ちゅうじつ,忠実に再現,原作に忠実,基本に忠実,忠実に実行,欲望に忠実
賃料,ちんりょう,順賃料,賃料が安い,平均賃料,賃料相場,賃料収入
高層,こうそう,高層ビル,高層マンション,高層階,高層建築,高層住宅
枚数,まいすう,コインの枚数,枚数が多い,発行枚数,枚数が少ない,予定枚数
一律,いちりつ,全国一律,一律送料,一律料金,送料一律,一律的
内臓,ないぞう,内臓系,内臓機能,内臓の働き,内臓器官,内臓を取る
陛下,へいか,皇后陛下,女王陛下,国王陛下,今上陛下,陛下たん
名詞,めいし,名詞名詞,名詞サ変,動名詞,名詞句,女性名詞
難民,なんみん,難民キャンプ,難民認定,カフェ難民,難民高等,国連難民
寸法,すんぽう,寸法精度,外形寸法,寸法安定,寸法を測る,寸法直し
納入,のうにゅう,納入通知,納入実績,納入業者,納入先,納入義務
放射,ほうしゃ,放射性,レベル放射,放射器,赤外線放射,放射率
蒸気,じょうき,蒸気機関,蒸気船,蒸気発生,蒸気圧,形蒸気
民衆,みんしゅう,民衆運動,民衆の生活,民衆の支持,民衆の間,民衆の中
除外,じょがい,適用除外,一部除外,除外品,除外となる,除外規定
暮れ,くれ,昨年暮れ,去年の暮れ,昨年の暮れ,年暮れ,年の暮れ
異様,いよう,一種異様,異様に時間,異様にテンション,異様に多く,異様に感じ
本尊,ほんぞん,本尊様,本尊とする,ニセ本尊,寺の本尊,心本尊
値上げ,ねあげ,円値上げ,料の値上げ,料値上げ,値上げをする,料金値上げ
貴様,きさま,貴様達,貴様たち,貴様のせい,貴様みたい,私貴様
流域,りゅういき,川流域,流域下水道,流域面積,流域委員,流域住民
値下げ,ねさげ,円に値下げ,料金値下げ,値下げ競争,ガソリン値下げ,円値下げ
無難,ぶなん,一番無難,無事無難,無難に推移,業績無難,無難すぎ
音源,おんげん,ライブ音源,ライヴ音源,発表音源,オリジナル音源,デモ音源
誠実,せいじつ,誠実に対応,誠実に希求,信義誠実,誠実性,誠実の原則
納品,のうひん,電子納品,納品後,結納品,納品時,納品先
紅白,こうはく,紅白歌合戦,紅白戦,紅白出場,今年の紅白,紅白梅
後退,こうたい,景気後退,位に後退,歩後退,大きく後退,後退局面
今晩,こんばん,今晩のおかず,今晩中,今晩和,今晩あたり,今晩の宿
過激,かげき,過激派,イスラム過激,過激すぎ,過激発言,過激主義
皇太子,こうたいし,皇太子さま,皇太子様,皇太子夫妻,皇太子時代,皇太子一家
馬券,ばけん,万馬券,馬券を買う,馬券術,馬券師,場外馬券
朗読,ろうどく,朗読会,朗読劇,詩の朗読,詩を朗読,詩を朗読する
銭湯,せんとう,温泉銭湯,近くの銭湯,銭湯へ行く,近所の銭湯,銭湯情報
首脳,しゅのう,首脳会談,首脳会議,米首脳,国首脳,首脳部
洗練,せんれん,洗練アイテム,洗練度,非常に洗練,シンプルで洗練,上品で洗練
分担,ぶんたん,役割分担,分担金,分担研究,分担をする,役割を分担
胃腸,いちょう,胃腸科,胃腸薬,性胃腸,胃腸病,内科胃腸
町並み,まちなみ,古い町並み,町並み保存,町の町並み,美しい町並み,的町並み
自律,じりつ,自律神経,自律的,自律性,自律型,自律訓練
差異,さい,内容と差異,上の差異,的差異,若干差異,情報の差異
毛穴,けあな,毛穴ケア,毛穴の黒ずみ,毛穴対策,毛穴の開き,毛穴の中
転勤,てんきん,転勤族,転勤先,社転勤,夫の転勤,主人の転勤
創出,そうしゅつ,産業創出,創出事業,産業の創出,事業創出,創出を目指す
呼び出し,よびだし,呼び出し音,呼び出し可能,呼び出しを受ける,関数呼び出し,呼び出し元
貯蔵,ちょぞう,貯蔵所,貯蔵タンク,タンク貯蔵,貯蔵酒,長期貯蔵
頂点,ちょうてん,頂点とする,頂点を目指す,世界の頂点,頂点に君臨,界の頂点
優位,ゆうい,優位性,的優位,競争優位,男性優位,優位に試合
就活,しゅうかつ,就活をする,学生の就活,就活の心,就活のすすめ,予定の就活
垂れ,たれ,垂れ目,垂れ耳,文句垂れ,野垂れ,情報を垂れ流す
国宝,こくほう,人間国宝,国宝に指定,国宝級,国宝館,国宝指定
映る,うつる,映る自分,映る世界,映る姿,映る景色,映る月
理系,りけい,理系出身,理系科目,文系と理系,理系学部,理系学生
変革,へんかく,社会変革,大きな変革,自己変革,変革の時代,変革をもたらす
照射,しょうしゃ,光照射,放射線照射,光を照射,照射装置,光を照射する
拡散,かくさん,拡散防止,拡散条約,拡散係数,拡散性,熱拡散
宝くじ,たからくじ,ジャンボ宝くじ,宝くじ売り場,宝くじを買う,宝くじ当選,自治宝くじ
厳密,げんみつ,厳密性,厳密に区別,厳密に定義,厳密に管理,厳密解
整骨,せいこつ,整骨院,全て整骨,市の整骨,整骨医院,県の整骨
産卵,さんらん,産卵期,産卵場所,産卵場,ウミガメの産卵,産卵後
存分,ぞんぶん,存分に発揮,思う存分,存分に楽しみ,思い存分,存分に活用
大腸,だいちょう,大腸がん,性大腸,大腸内,大腸ガン,大腸検査
階層,かいそう,階層構造,上の階層,階層的,階層別,現在の階層
垂直,すいちょく,垂直方向,垂直落下,垂直的,垂直統合,垂直写真
論議,ろんぎ,論議を呼ぶ,論議をする,改正論議,憲法論議,政策論議
論争,ろんそう,政策論争,論争をする,神学論争,激しい論争,論争を巻き起こす
染色,せんしょく,染色体,染色法,性染色,染色加工,染色家
諸君,しょくん,学生諸君,生徒諸君,諸君私,男性諸君,賛成の諸君
傷害,しょうがい,傷害保険,傷害容疑,傷害事件,傷害罪,過失傷害
退治,たいじ,退治をする,ダニ退治,ネズミ退治,ゴキブリ退治,虫退治
創刊,そうかん,創刊号,創刊以来,版で創刊,年創刊,年に創刊
欲求,よっきゅう,欲求不満,欲求を満たす,的欲求,自分の欲求,性的欲求
昨晩,さくばん,昨晩の雨,昨晩のうち,一昨晩,昨晩の米国,昨晩の残り
誤差,ごさ,若干の誤差,測定誤差,誤差が大きい,誤差はある,誤差を見つける
洗顔,せんがん,洗顔料,洗顔後,洗顔石けん,洗顔をする,洗顔方法
主権,しゅけん,国民主権,地域主権,主権国家,国家主権,主権回復
成熟,せいじゅく,成熟期,成熟度,成熟社会,性成熟,成熟する大人
幼虫,ようちゅう,カブトムシの幼虫,令幼虫,ホタルの幼虫,アゲハの幼虫,幼虫飼育
磁気,じき,磁気ディスク,磁気共鳴,磁気記録,磁気的,磁気ヘッド
制裁,せいさい,経済制裁,的制裁,制裁を受ける,制裁決議,制裁を加える
観覧,かんらん,観覧車,観覧料,観覧券,番組観覧,喜劇観覧
特異,とくい,特異的,特異性,特異点,特異体質,特異度
豆乳,とうにゅう,豆乳おから,豆乳ダイエット,豆乳プリン,調整豆乳,豆乳入り
金券,きんけん,金券ショップ,金券代わり,次回金券,金券屋,金券チャリティ
容姿,ようし,自分の容姿,容姿をする,美しい容姿,容姿を持つ,容姿に自信
所蔵,しょぞう,所蔵品,所蔵資料,美術館所蔵,所蔵作品,図書館所蔵
独裁,どくさい,独裁政権,独裁国家,党独裁,独裁体制,独裁政治
優待,ゆうたい,株主優待,優待券,優待制度,優待情報,優待割引
洗脳,せんのう,洗脳教育,洗脳プログラム,国民を洗脳,洗脳工作,洗脳を受ける
操縦,そうじゅう,操縦士,操縦席,操縦性,自動操縦,操縦室
庁舎,ちょうしゃ,県庁舎,庁舎内,総合庁舎,庁舎建設,庁舎前
異性,いせい,異性体,異性のタイプ,異性関係,異性愛,異性間
字幕,じまく,日本語字幕,字幕付き,字幕版,英語字幕,字幕放送
専念,せんねん,活動に専念,仕事に専念,職務に専念,専念する義務,専念義務
聖地,せいち,聖地エルサレム,聖地チベット,仏教の聖地,教の聖地,オタクの聖地
相棒,あいぼう,新しい相棒,相棒さん,私の相棒,相棒となる,最高の相棒
吸引,きゅういん,吸引力,吸引器,吸引機,吸引法,吸引口
共存,きょうそん,共存共栄,自然と共存,自然と共存する,平和共存,共存生活
星座,せいざ,冬の星座,星座別,夏の星座,星座早見,月の星座
乳がん,にゅうがん,乳がん検査,乳がんの早期,性乳がん,乳がん手術,乳がんの手術
個展,こてん,個展を開く,初の個展,今回の個展,個展会場,個展をする
幼少,ようしょう,幼少期,幼少時,幼少時代,幼少のころ,幼少の時
就労,しゅうろう,不法就労,就労ビザ,就労移行,就労の場,就労形態
退会,たいかい,退会手続き,退会処理,強制退会,退会届,退会方法
痛感,つうかん,性を痛感,性を痛感する,不足を痛感,責任を痛感,不足を痛感する
専業,せんぎょう,専業主婦,専業農家,専業主夫,ネット専業,専業銀行
言論,げんろん,言論の自由,言論統制,言論活動,言論界,言論機関
論点,ろんてん,論点整理,今日の論点,論点を整理,論点を整理する,論点の整理
現存,げんそん,現存する最古,現存最古,現存量,現存する日本,現存に関係
劇的,げきてき,劇的に変化,劇的に改善,劇的に向上,劇的変化,劇的勝利
特権,とっけん,特権階級,在日特権,先取特権,特権的,特権意識
著しい,いちじるしい,著しい支障,著しく低下,著しく困難,著しい障害,著しく減少
夕暮れ,ゆうぐれ,夕暮れ時,秋の夕暮れ,夏の夕暮れ,夕暮れの空,夕暮れの中
至り,いたり,若気の至り,思い至り,光栄の至り,赤面の至り
皇后,こうごう,皇后両,神功皇后,天皇皇后,皇后陛下,皇后さま
創る,つくる,家と創る,未来を創る,創る注文,世界を創る,創る会
退場,たいじょう,退場処分,負傷退場,退場となる,発退場,退場時
日系,にっけい,日系ブラジル,日系アメリカ,日系社会,日系移民,日系料理
乱暴,らんぼう,乱暴と待機,女性に乱暴,乱暴する疑い,乱暴すぎ,非常に乱暴
敗退,はいたい,初戦敗退,予選敗退,回戦敗退,敗退となる,予選で敗退
利権,りけん,利権構造,石油利権,同和利権,利権政治,利権団体
骨格,こっかく,骨格筋,骨格標本,骨格系,外骨格,筋骨格
吸う,すう,タバコを吸う,息を吸う,空気を吸う,血を吸う,水を吸う
補完,ほかん,補完的,補完計画,人類補完,補完関係,補完性
土砂,どしゃ,土砂災害,土砂流出,土砂の流出,大量の土砂,土砂採取
盛大,せいだい,盛大にお祝い,盛大に挙行,強盛大,盛大国,盛大に行い
容認,ようにん,容認派,天皇容認,容認論,女系容認,容認発言
未熟,みじゅく,未熟果,的未熟
従前,じゅうぜん,従前の例,従前の土地,従前どおり,従前の宅地,従前の規定
海域,かいいき,周辺海域,沿岸海域,現場海域,周辺の海域,性海域
断層,だんそう,活断層,断層帯,断層面,断層系,野島断層
血糖,けっとう,血糖値,血糖降下,血糖測定,時血糖,食後の血糖
奏者,そうしゃ,サックス奏者,トランペット奏者,打楽器奏者,チェロ奏者,首席奏者
専務,せんむ,専務理事,専務さん,協会専務,専務のブログ,会専務
電磁,でんじ,電磁的,電磁界,電磁調理,電磁弁,電磁力
乳幼児,にゅうようじ,乳幼児期,乳幼児の手,乳幼児健,乳幼児用,乳幼児と保護
供述,きょうじゅつ,供述調書,供述をする,認める供述,供述書,供述内容
敬意,けいい,敬意を表す,敬意を表する,敬意と感謝,敬意を持つ,感謝と敬意
頭脳,ずのう,頭脳戦,頭脳派,頭脳を持つ,頭脳的,頭脳労働
開閉,かいへい,開閉式,開閉器,ドアの開閉,開閉可能,自動開閉
激減,げきげん,数は激減,人口激減,数は激減する,日本人激減,数激減
根源,こんげん,根源的,物質の根源,根源の姿,諸悪の根源,問題の根源
母乳,ぼにゅう,母乳育児,母乳で育てる,母乳の出,完全母乳,母乳中
探訪,たんぼう,歴史探訪,探訪記,探訪の旅,グルメ探訪,建築探訪
並行,へいこう,同時並行,並行在来,並行的,並行世界,活動と並行
方策,ほうさく,方策を検討,的方策,方策を検討する,方策を考える,推進方策
専有,せんゆう,専有面積,順専有,専有部分,間取りや専有,間取り専有
源流,げんりゅう,源流部,源流とする,源流域,川の源流,川源流
値引き,ねびき,値引き中,値引き額,新車値引き,円値引き,値引き情報
省庁,しょうちょう,関係省庁,中央省庁,省庁再編,省庁間,省庁別
党首,とうしゅ,党首討論,福島党首,党首会談,社民党党首,民主党党首
片道,かたみち,最長片道,片道乗車,片道分,片道航空,片道運賃
語源,ごげん,語源となる,語源由来,言葉の語源,語源辞典,語源とする
探査,たんさ,探査機,月探査,火星探査,探査衛星,探査船
段差,だんさ,段差解消,段差がない,段差をなくす,段差の解消,段差を解消
格段,かくだん,格段に向上,格段にアップ,格段の差,格段に進歩,比べ格段
新潮,しんちょう,新潮文庫,週刊新潮,新潮新書,新潮選書,芸術新潮
密接,みっせつ,密接に関係,密接に関連,生活に密接,生活と密接,密接不可分
探求,たんきゅう,食を探求,食を探求する,探求する集団,探求心,商品の探求
収縮,しゅうしゅく,信用収縮,収縮期,子宮収縮,熱収縮,筋収縮
若葉,わかば,若葉区,市若葉,大麦若葉,若葉町,若葉さん
新党,しんとう,国民新党,新党日本,新党結成,新党改革,創新党
果樹,かじゅ,果樹園,観光果樹,熱帯果樹,果樹試験場,果樹王国
賃借,ちんしゃく,不動産の賃借,賃借権,賃借料,建物の賃借,土地の賃借
無論,むろん,無論ない
辞退,じたい,出場辞退,内定辞退,出場を辞退,国辞退,入学辞退
諸島,しょとう,間諸島,マリアナ諸島,ソロモン諸島,インド諸島,ガラパゴス諸島
誠意,せいい,誠心誠意,誠意を持つ,誠意をもつ,誠意を見せる,誠意がない
腹部,ふくぶ,上腹部,腹部大動脈,胸腹部,腹部臓器,腹部痛
自我,じが,個人と自我,自我意識,的自我,自我を持つ,自我自賛
接骨,せっこつ,接骨院,院や接骨,市の接骨,接骨師,接骨医
来訪,らいほう,海の来訪,直接来訪,サイト来訪,来訪いただき,来訪時
成就,じょうじゅ,成就院,願成就,学業成就,運成就,大願成就
神聖,しんせい,神聖視,神聖衣,神聖性,神聖喜劇,神聖モテモテ
傷み,いたみ,傷み有,若干傷み,傷みが激しい,傷みはある,背傷み
新株,しんかぶ,新株予約,新株発行,新株引受,型新株,新株式
内訳,うちわけ,別の内訳,間取りの内訳,内訳書,内訳を見る,財源内訳
文系,ぶんけい,文系学部,文系と理系,私立文系,文系出身,文系理系
裏切り,うらぎり,裏切りの夕焼け,ユダの裏切り,仲間の裏切り,裏切りの街,裏切りのイシュタル
延べ,のべ,手延べ,延べ面積,延べ棒,延べ人数,延べうどん
夜勤,やきん,夜勤明け,夜勤専従,夜勤手当,深夜勤,今日は夜勤
無敵,むてき,天下無敵,無敵時間,無敵状態,絶対無敵,完全無敵
就学,しゅうがく,就学前,就学児,就学児童,小学校就学,就学時
機密,きみつ,機密費,機密情報,機密性,機密文書,機密保持
従量,じゅうりょう,従価従量
若年,じゃくねん,若年層,若年性,若年労働,若年期,若年女性
晩年,ばんねん,晩年の作品,晩年を過ごす,晩年期,晩年の作,晩年運
洗車,せんしゃ,洗車機,洗車場,洗車をする,コイン洗車,手洗い洗車
勤労,きんろう,勤労青少年,勤労意欲,市勤労,勤労動員,勤労統計
臨む,のぞむ,態度で臨む,姿勢で臨む,体制で臨む,気持ちで臨む,海を臨む
水源,すいげん,水源地,水源の森,水源とする,水源地域,水源林
動詞,どうし,動詞の活用,複合動詞,補助動詞,段動詞,動詞活用
冷蔵,れいぞう,冷蔵便,冷蔵保存,冷蔵商品,冷蔵品,冷蔵室
熟練,じゅくれん,熟練度,熟練の職人,熟練の技,熟練する職人,熟練職人
家系,かけい,家系図,家の家系,家系に生まれ,家系的,私の家系
復刻,ふっこく,復刻版,完全復刻,名前で復刻,復刻本,復刻堂
一筋,ひとすじ,一筋の光,仕事一筋,道一筋,一筋の光明,一筋の道
厳重,げんじゅう,厳重注意,厳重に管理,厳重に保管,厳重に注意,厳重警備
深層,しんそう,深層水,海洋深層,深層心理,深層意識,深層部
切除,せつじょ,切除術,切除後,切除手術,胃切除,部分切除
創建,そうけん,創建当時,創建時,年に創建,創建と伝え,創建と伝えられる
穀物,こくもつ,穀物価格,穀物生産,穀物類,東京穀物,穀物相場
外装,がいそう,外装材,外装工事,外装部品,その他外装,外装デザイン
手洗い,てあらい,手洗い場,手洗い洗車,手洗いをする,手洗い器,手洗いやう
異例,いれい,異例の事態,異例中,中の異例,異例の大,異例ずくめ
使い捨て,つかいすて,使い捨てコンタクトレンズ,使い捨てカイロ,使い捨てカメラ,使い捨てコンタクト,使い捨てタイプ
一刻,いっこく,一刻も早い,刻一刻,一刻を争う,一刻館,一刻一刻
簡潔,かんけつ,簡潔に説明,簡潔にお願い,簡潔に解説,簡潔に表現,簡潔表現
必至,ひっし,売り切れ必至,完売必至,必至の情勢,混乱必至,行列必至
分権,ぶんけん,地方分権,分権改革,分権推進,分権時代,分権の推進
至福,しふく,至福の時,至福の時間,至福のひととき,至福のとき,至福の一時
吸着,きゅうちゃく,吸着力,吸着性,吸着材,物質を吸着,吸着除去
女装,じょそう,女装子,女装をする,女装少年,女装系,女装姿
最善,さいぜん,最善の方法,最善の努力,最善の策,最善策,最善手
割り当て,わりあて,第三者割り当て,割り当て増資,周波数割り当て,メモリ割り当て,割り当てを受ける
敵対,てきたい,敵対的,敵対関係,敵対勢力,敵対視,敵対国
圧巻,あっかん,圧巻の一言
本誌,ほんし,本誌編集,本誌記事,本誌のプレゼント,本誌読者,本誌参照
並べる,ならべる,順で並べる,言葉を並べる,机を並べる,写真を並べる,商品を並べる
専属,せんぞく,専属的,専属モデル,専属スタッフ,専属カメラマン,専属専任
刻み,きざみ,刻みネギ,心に刻み,細かく刻み,胸に刻み,刻みこま
降臨,こうりん,天孫降臨,神降臨,本人降臨,神の降臨,降臨の地
高砂,たかさご,高砂市,県高砂,区高砂,高砂親方,高砂駅
梅干,うめぼし,高級梅干,紀州梅干,梅干の種,梅干専門,梅干用
反乱,はんらん,反乱軍,反乱を起こす,反乱分子,農民反乱,反乱勢力
専任,せんにん,専任講師,専任教員,専任スタッフ,専任のコンサルタント,専任コンサルタント
毎晩,まいばん,毎晩毎晩,毎日毎晩,毎朝毎晩,毎晩夜,毎晩酒
宝庫,ほうこ,情報の宝庫,自然の宝庫,植物の宝庫,ネタの宝庫,食の宝庫
鉄鋼,てっこう,鉄鋼業界,鉄鋼株,鉄鋼製品,日本鉄鋼,鉄鋼材料
生誕,せいたん,生誕地,生誕の地,生誕祭,生誕記念,キリスト生誕
筋力,きんりょく,筋力アップ,筋力低下,筋力強化,筋力の低下,筋力増強
防除,ぼうじょ,病害虫防除,防除効果,防除法,防除対策,害虫防除
直射,ちょくしゃ,直射日光,方法直射,直射光,夏の直射,真夏の直射
満腹,まんぷく,満腹感,満腹度,満腹状態,満腹日記,満腹満腹
値上がり,ねあがり,値上がり率,値上がり益,円に値上がり,円値上がり,市場値上がり
蔵元,くらもと,蔵元さん,蔵元直送,酒蔵元,地酒蔵元,蔵元様
外傷,がいしょう,外傷性,外傷薬,薬外傷,頭部外傷,外傷後
車窓,しゃそう,世界の車窓,バスの車窓,車窓風景,車窓の風景,車窓の景色
特派,とくは,特派員,スポットに特派,外国特派,イベントに特派,エリアの特派
下降,かこう,下降トレンド,下降線,下降気味,下降中,下降点
難関,なんかん,難関大学,難関校,最大の難関,難関大,難関私立
上段,じょうだん,上段左,上段の間,上段右,写真上段,左上段
歌劇,かげき,歌劇場,歌劇団,国立歌劇,喜歌劇,少女歌劇
授乳,じゅにゅう,授乳中,授乳室,スリング授乳,授乳服,授乳婦
訪ねる,たずねる,家を訪ねる,地を訪ねる,訪ねる旅,訪ねる会,店を訪ねる
座談,ざだん,座談会,テレビ座談,ツウ座談,特別座談,記者座談
空腹,くうふく,空腹時,空腹感,空腹を満たす,空腹を感じる,空腹状態
縦走,じゅうそう,縦走路,山縦走,縦走登山,アルプス縦走,縦走中
暮らせる,くらせる,ペットと暮らせる,暮らせるまち,暮らせる社会,暮らせる賃貸,暮らせる家
厳格,げんかく,厳格に適用,厳格に管理,非常に厳格,厳格に対処,厳格に運用
鉄骨,てっこつ,鉄骨造,軽量鉄骨,重量鉄骨,鉄骨構造,鉄骨造り
巻く,まく,巻き取り,舌を巻く,巻き道,包帯を巻く,巻きおにぎり
乳児,にゅうじ,乳児期,不整脈乳児,乳児院,乳児の発育,乳児死亡
難点,なんてん,最大の難点,難点もある,難点はある,難点という,難点を言える
蒸留,じょうりゅう,蒸留所,蒸留酒,蒸留水,圧蒸留,減圧蒸留
観劇,かんげき,観劇後,観劇予定,観劇会,観劇日記,観劇記
官庁,かんちょう,官庁街,中央官庁,主務官庁,行政官庁,関係官庁
異国,いこく,異国の地,遠い異国,異国船,異国風,異国的
格納,かくのう,倉庫に格納,格納容器,情報を格納,情報を格納する,格納式
磁石,じしゃく,永久磁石,方位磁石,ネオジム磁石,フェライト磁石,磁石を使う
別冊,べっさつ,別冊宝島,別冊付録,別冊太陽,別冊少年,別冊少女
至高,しこう,至高の一品,究極至高,至高のコピペ,至高神,至高の存在
臨海,りんかい,臨海公園,臨海鉄道,臨海部,臨海高速,東京臨海
閣議,かくぎ,閣議決定,閣議後,午前の閣議,月に閣議,臨時閣議
賛否,さんぴ,賛否両論,賛否を問う,賛否の声,登場に賛否,賛否はある
聖堂,せいどう,湯島聖堂,記念聖堂,聖堂内,聖堂の中,聖堂前
切り捨て,きりすて,弱者切り捨て,地方切り捨て,以下は切り捨て,以下切り捨て,以下を切り捨て
激戦,げきせん,激戦区,激戦地,激戦の末,激戦となる,激戦中
座長,ざちょう,会座長,座長公演,会の座長,座長を務める,座長さん
仏閣,ぶっかく,神社仏閣,寺社仏閣,仏閣の参拝,仏閣のご利益,社寺仏閣
操る,あやつる,操る能力,裏で操る,操る力,操る程度,操る男
私鉄,してつ,大手私鉄,私鉄沿線,地方私鉄,関西私鉄,中小私鉄
宗派,しゅうは,宗派不問,宗派別,他の宗派,宗派間,仏教宗派
熟語,じゅくご,字熟語,文字熟語,熟語辞典,英熟語,熟語の意味
水系,すいけい,利根川水系,川水系,水系河川,級水系,水系の河川
伝染,でんせん,伝染病,伝染性,伝染力,法定伝染,伝染源
痛む,いたむ,少し痛む,全く痛む,特に痛む,痛む頭,ズキズキ痛む
常勤,じょうきん,常勤医,常勤医師,常勤職員,常勤講師,常勤の従業
善意,ぜんい,善意の第三者,善意銀行,善意でやる,善意取得,善意の寄付
風潮,ふうちょう,風潮の中,最近の風潮,的風潮,社会風潮,社会の風潮
操業,そうぎょう,自転車操業,操業開始,操業停止,操業を開始,操業中
障子,しょうじ,障子紙,障子を開ける,障子戸,雪見障子,障子張り
片側,かたがわ,片側通行,片側性,片側顔面,道の片側,道路の片側
降下,こうか,血圧降下,電圧降下,血糖降下,降下作用,降下物
正論,せいろん,正論を言う,正論を述べる,確かに正論,正論すぎ,異論正論
派生,はせい,派生商品,派生語,派生的,派生型,派生作品
断片,だんぺん,断片的,断片部,言葉の断片,断片情報,情報の断片
脳裏,のうり,脳裏をよぎる,私の脳裏,脳裏をかすめる,脳裏を過ぎる,脳裏に焼き付け
書簡,しょかん,往復書簡,書簡集,書簡を送る,間の書簡,公開書簡
敬遠,けいえん,敬遠しがち,敬遠しがち,敬遠気味,連続敬遠,敬遠策
潮流,ちょうりゅう,新しい潮流,世界の潮流,時代の潮流,的潮流,潮流の中
宣告,せんこく,宣告を受ける,破産宣告,死の宣告,余命宣告,宣告をする
同署,どうしょ,同署の調べ,同署に通報,同署幹部,同署に相談,同署は自殺
植樹,しょくじゅ,植樹祭,記念植樹,全国植樹,植樹活動,植樹を行う
胸元,むなもと,自分の胸元,胸元に手,胸元が大きい,胸元に顔,胸元のリボン
可視,かし,可視光,可視光線,全面可視,可視的,取調べの可視
除雪,じょせつ,除雪車,除雪作業,除雪機,除雪をする,道路の除雪
蔵書,ぞうしょ,蔵書印,安心蔵書,図書館の蔵書,蔵書数,蔵書目録
砂利,じゃり,砂利道,砂利採取,砂利その他,海砂利,砂利水魚
大盛り,おおもり,ご飯大盛り,大盛り無料,大盛りねぎ,大盛りを注文,ライス大盛り
皇族,こうぞく,女性皇族,他の皇族,日本の皇族,皇族の身分,皇族たち
敬老,けいろう,敬老会,敬老パス,敬老園,敬老祝,敬老の国
全巻,ぜんかん,全巻セット,全巻まとめ買い,マンガ全巻,全巻読破,全巻大人
石段,いしだん,石段を登る,段の石段,長い石段,石段を上がる,石段を上る
上層,じょうそう,上層部,上層階,軍上層,上層階級,軍の上層
